year,state,operas,post1801,copyright,copyright_post1801
1795,Duchy_Modena,0,0,0,0
1795,Duchy_Parma,0,0,0,0
1795,Due_Sicilie,12,0,0,0
1795,Lombardia,4,0,1,0
1795,Papal,1,0,0,0
1795,Sardinia,0,0,0,0
1795,Toscana,18,0,0,0
1795,Venetia,2,0,1,0
1796,Duchy_Modena,0,0,0,0
1796,Duchy_Parma,2,0,0,0
1796,Due_Sicilie,9,0,0,0
1796,Lombardia,1,0,1,0
1796,Papal,9,0,0,0
1796,Sardinia,1,0,0,0
1796,Toscana,14,0,0,0
1796,Venetia,1,0,1,0
1797,Duchy_Modena,0,0,0,0
1797,Duchy_Parma,2,0,0,0
1797,Due_Sicilie,16,0,0,0
1797,Lombardia,1,0,1,0
1797,Papal,8,0,0,0
1797,Sardinia,2,0,0,0
1797,Toscana,17,0,0,0
1797,Venetia,1,0,1,0
1798,Duchy_Modena,1,0,0,0
1798,Duchy_Parma,1,0,0,0
1798,Due_Sicilie,15,0,0,0
1798,Lombardia,8,0,1,0
1798,Papal,7,0,0,0
1798,Sardinia,5,0,0,0
1798,Toscana,15,0,0,0
1798,Venetia,1,0,1,0
1799,Duchy_Modena,0,0,0,0
1799,Duchy_Parma,1,0,0,0
1799,Due_Sicilie,6,0,0,0
1799,Lombardia,4,0,1,0
1799,Papal,8,0,0,0
1799,Sardinia,3,0,0,0
1799,Toscana,7,0,0,0
1799,Venetia,0,0,1,0
1800,Duchy_Modena,0,0,0,0
1800,Duchy_Parma,1,0,0,0
1800,Due_Sicilie,17,0,0,0
1800,Lombardia,1,0,1,0
1800,Papal,3,0,0,0
1800,Sardinia,2,0,0,0
1800,Toscana,12,0,0,0
1800,Venetia,3,0,1,0
1801,Duchy_Modena,0,1,0,0
1801,Duchy_Parma,1,1,0,0
1801,Due_Sicilie,10,1,0,0
1801,Lombardia,6,1,1,1
1801,Papal,7,1,0,0
1801,Sardinia,1,1,0,0
1801,Toscana,3,1,0,0
1801,Venetia,0,1,1,1
1802,Duchy_Modena,1,1,0,0
